date,temp_max,temp_min,temp_mean,rh_mean,wind_max_kmh,wind_mean_kmh,wind_dir_deg,wind_run_km,rain_mm,et_mm,rain_rate_max_mmhr,pressure_mean_hpa,solar_rad_avg,solar_rad_hi,solar_energy_ly,dew_point_c,wet_bulb_c,heat_index_c,wind_chill_c,thsw_index_c,delta_t_mean,uv_max,uv_index_avg,uv_dose,emc,air_density_kgm3,night_cloud_cover,iss_reception,gdd_bent,gdd_kik,gdd_bent_7d,gdd_kik_7d,leaf_wet_hours,dollar_spot_pct,dollar_spot_risk,fusarium_score,fusarium_risk,brown_patch_risk,pythium_risk,soil_balance_7d,soil_zone,spray_go_hours,spray_caution_hours,spray_nogo_hours,rain_day,frost_flag,disease_alert,fog_forecast,lightning_forecast
2025-09-01,16.7,1.9,7.8,82.4,4.8,2.2,1,14.5,0.0,1.68,,1024.6,272.1,939.0,265.34,4.7,6.2,7.6,1.9,23.2,1.6,5.4,,,8.7,,0.19,,0,0,0,0,2,0.0,LOW,4,MODERATE,LOW,LOW,1.7,Optimal,6,0,18,False,True,False,False,False
2025-09-02,15.7,0.7,7.3,79.9,4.8,2.3,1,13.8,0.2,1.65,,1023.5,275.7,933.0,270.85,3.7,5.5,7.0,0.7,21.6,1.8,5.45,,,8.7,,0.14,,0,0,0.0,0.0,1,0.0,LOW,4,MODERATE,LOW,LOW,3.1,Optimal,6,0,18,False,True,False,False,False
2025-09-03,20.8,1.2,10.4,71.2,11.3,3.9,0,33.8,0.0,2.24,,1019.4,300.4,854.0,295.08,4.6,7.3,9.9,1.2,26.0,3.1,5.55,,,8.4,,0.1,,1.0,0,1.0,0.0,2,0.0,LOW,2,LOW-MOD,LOW,LOW,5.4,Optimal,8,0,16,False,True,False,False,False
2025-09-04,18.2,4.9,10.5,75.1,6.4,3.0,1,21.5,0.0,1.96,,1019.0,282.7,795.0,281.81,5.8,8.0,10.1,4.9,24.3,2.5,5.3,,,8.5,,0.14,,1.6,0,2.6,0.0,0,0.0,LOW,2,LOW-MOD,LOW,LOW,7.3,Optimal,6,0,18,False,False,False,False,False
2025-09-05,16.7,1.0,8.3,72.0,4.8,2.7,1,21.5,0.0,2.46,,1026.0,383.6,714.0,382.37,2.6,5.6,7.8,1.0,20.7,2.7,5.65,,,8.3,,0.01,,0,0,2.6,0.0,1,0.0,LOW,2,LOW-MOD,LOW,LOW,9.8,Optimal,7,0,17,False,True,False,False,False
2025-09-06,21.2,4.0,13.1,71.6,8.0,4.9,0,53.1,0.0,2.79,,1026.4,374.5,668.0,370.53,7.7,10.1,12.8,4.0,25.7,3.0,5.75,,,8.3,,0.02,,2.6,0,5.2,0.0,0,0.0,LOW,0,LOW,LOW,LOW,12.6,Dry,10,0,14,False,False,False,False,False
2025-09-07,20.2,7.9,14.9,76.7,11.3,4.9,0,52.0,0.4,1.45,2.2,1020.6,174.9,726.0,174.32,10.6,12.4,14.8,7.9,25.2,2.5,4.15,,,8.8,,0.44,,4.1,0,9.3,0.0,2,6.5,LOW,2,LOW-MOD,LOW,LOW,13.6,Dry,10,0,14,True,False,False,False,False
2025-09-08,24.3,10.4,17.8,67.3,8.0,3.6,0,47.5,0.8,2.95,44.0,1015.4,371.5,773.0,370.31,11.2,13.9,17.5,10.4,30.6,3.9,5.9,,,9.0,,0.28,,7.4,2.4,16.7,2.4,1,7.4,LOW,1,LOW-MOD,LOW,LOW,15.8,Dry,11,1,12,True,False,False,False,False
2025-09-09,21.4,6.2,12.9,74.6,6.4,2.5,0,17.2,0.0,2.34,,1014.2,344.0,886.0,345.29,7.9,10.1,12.6,6.2,26.5,2.8,5.55,,,8.7,,0.09,,3.8,0,20.5,2.4,4,8.4,LOW,3,LOW-MOD,LOW,LOW,16.4,Dry,7,0,17,False,False,False,False,False
2025-09-10,14.4,6.6,10.5,88.2,9.7,3.5,0,35.8,49.2,0.53,61.6,1004.7,78.7,540.0,73.37,8.6,9.5,10.6,6.6,19.0,1.0,3.45,,,8.9,,0.54,,0.5,0,21.0,2.4,13,10.0,LOW,8,HIGH,LOW,LOW,-33.7,Waterlogged,1,0,23,True,False,True,False,False
