timestamp_utc,comp_date,competition,leaderboard_id,role,status,summary,note
2026-09-03T05:44:53.916340+00:00,2026-09-03,Ladies 18 Hole Stableford Womens,10414343,primary,success,"3 grades, 75 players, 3 NTP, 0 LD, 19 balls",
2026-09-03T13:33:41.839446+00:00,2026-09-03,Ladies 9 Hole Stableford Back 9 Womens,10414344,companion,none-published,no official results by 7:30pm,
2026-09-04T09:03:41.918347+00:00,2026-09-04,Friday Medley Stableford,10414330,primary,success,"3 grades, 156 players, 5 NTP, 0 LD, 40 balls",
2026-09-04T11:13:51.791163+00:00,2026-09-04,9 Hole Medley Stableford Back 9,10414331,companion,none-published,no official results by 7:30pm,
2026-09-06T08:54:34.888395+00:00,2026-09-06,Sunday Medley Stableford,10414332,primary,success,"3 grades, 182 players, 5 NTP, 0 LD, 47 balls",
2026-09-06T09:39:19.408019+00:00,2026-09-06,9 Hole Medley Stableford Front 9,10414334,companion,none-published,no official results by 7:30pm,
2026-09-07T04:59:13.427639+00:00,2026-09-07,Veterans 9 Hole Stableford Front 9,10414347,primary,partial,"0 grades, 71 players, 1 NTP, 0 LD, 23 balls",
2026-09-08T06:07:09.420132+00:00,2026-09-08,Ladies 18 Hole Stableford Womens,10414348,primary,success,"2 grades, 20 players, 3 NTP, 0 LD, 14 balls",
2026-09-08T09:58:38.139267+00:00,2026-09-08,Ladies 9 Hole Stableford Front 9 Womens,10414349,companion,none-published,no official results by 7:30pm,
2026-09-09T09:10:43.028911+00:00,2026-09-09,Mens Wednesday Stableford,10414242,primary,success,"3 grades, 55 players, 11 NTP, 4 LD, 36 balls",
2026-09-10T09:43:41.895094+00:00,2026-09-10,PSC Pro Am Rd 1,10414350,primary,none-published,no official results by 7:30pm,
2026-09-10T09:43:41.895169+00:00,2026-09-10,2026 PSC Insurance Brokers Pro Am,10414357,companion,none-published,no official results by 7:30pm,
2026-09-10T09:43:41.895211+00:00,2026-09-10,2026 Brett Bischard Trophy,10414358,companion,none-published,no official results by 7:30pm,
2026-09-11T09:13:18.493799+00:00,2026-09-11,PSC Pro Am Rd 2,10414351,primary,success,"single field, 186 players, 5 NTP, 0 LD, 66 balls",
